Medicine_ID,Medicine_Name,Generic_Name,Brand_Name,Allergen_Class,Active_Ingredients,Cross_Reactive_With,Contraindicated_Allergies,Dosage,Form,Route,Manufacturer,Requires_Allergy_Check
MED0154,Paracetamol 100mg,Paracetamol,ParacetamolBrand5,Analgesic,Paracetamol,None,Analgesic,100mg,Tablet,IM,Pharma Co 1,False
MED0155,Ranitidine 200mg,Ranitidine,RanitidineBrand5,H2 Blocker,Ranitidine HCl,None,H2 Blocker,200mg,Inhaler,Subcutaneous,Pharma Co 6,False
MED0156,Diclofenac 100mg,Diclofenac,DiclofenacBrand2,NSAID,Diclofenac sodium,Ibuprofen|Aspirin,NSAID,100mg,Syrup,Oral,Pharma Co 2,True
MED0157,Ampicillin 50mg,Ampicillin,AmpicillinBrand4,Beta-lactam,Ampicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,50mg,Injection,Oral,Pharma Co 18,True
MED0158,Prednisolone 250mg,Prednisolone,PrednisoloneBrand3,Corticosteroid,Prednisolone sodium phosphate,None,Corticosteroid,250mg,Inhaler,Inhalation,Pharma Co 1,False
MED0159,Omeprazole 1g,Omeprazole,OmeprazoleBrand3,PPI,Omeprazole magnesium,None,PPI,1g,Inhaler,IV,Pharma Co 19,False
MED0160,Metoprolol 20mg,Metoprolol,MetoprololBrand3,Beta-blocker,Metoprolol tartrate,None,Beta-blocker,20mg,Tablet,Subcutaneous,Pharma Co 13,False
MED0161,Amoxicillin 50mg,Amoxicillin,AmoxicillinBrand4,Beta-lactam,Amoxicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,50mg,Tablet,IV,Pharma Co 17,True
MED0162,Ibuprofen 500mg,Ibuprofen,IbuprofenBrand2,NSAID,Ibuprofen,Aspirin|Ketoprofen,NSAID,500mg,Tablet,IV,Pharma Co 15,True
MED0163,Cetirizine 500mg,Cetirizine,CetirizineBrand1,Antihistamine,Cetirizine HCl,None,Antihistamine,500mg,Cream,IV,Pharma Co 17,False
MED0164,Metformin 200mg,Metformin,MetforminBrand4,Biguanide,Metformin HCl,None,Biguanide,200mg,Inhaler,Subcutaneous,Pharma Co 1,False
MED0165,Atorvastatin 500mg,Atorvastatin,AtorvastatinBrand3,Statin,Atorvastatin calcium,None,Statin,500mg,Cream,IM,Pharma Co 4,True
MED0166,Ciprofloxacin 10mg,Ciprofloxacin,CiprofloxacinBrand3,Fluoroquinolone,Ciprofloxacin HCl,Ofloxacin,Fluoroquinolone,10mg,Cream,Subcutaneous,Pharma Co 3,True
MED0167,Azithromycin 10mg,Azithromycin,AzithromycinBrand5,Macrolide,Azithromycin dihydrate,Erythromycin,Macrolide,10mg,Tablet,Oral,Pharma Co 3,True
MED0168,Sulfamethoxazole 100mg,Sulfamethoxazole,SulfamethoxazoleBrand2,Sulfonamide,Sulfamethoxazole|Trimethoprim,None,Sulfonamide,100mg,Capsule,IM,Pharma Co 19,True
MED0169,Cephalexin 200mg,Cephalexin,CephalexinBrand1,Cephalosporin,Cephalexin monohydrate,Beta-lactam|Penicillin,Cephalosporin,200mg,Patch,Oral,Pharma Co 7,True
MED0170,Lisinopril 10mg,Lisinopril,LisinoprilBrand3,ACE-Inhibitor,Lisinopril,Enalapril,ACE-Inhibitor,10mg,Tablet,Subcutaneous,Pharma Co 8,True
MED0171,Codeine 250mg,Codeine,CodeineBrand3,Opioid,Codeine phosphate,Morphine|Tramadol,Opioid,250mg,Inhaler,Subcutaneous,Pharma Co 5,True
MED0172,Warfarin 50mg,Warfarin,WarfarinBrand3,Anticoagulant,Warfarin sodium,None,Anticoagulant,50mg,Syrup,Subcutaneous,Pharma Co 10,True
MED0173,Doxycycline 500mg,Doxycycline,DoxycyclineBrand2,Tetracycline,Doxycycline hyclate,Minocycline,Tetracycline,500mg,Capsule,Inhalation,Pharma Co 11,True
MED0174,Paracetamol 250mg,Paracetamol,ParacetamolBrand4,Analgesic,Paracetamol,None,Analgesic,250mg,Patch,IV,Pharma Co 9,False
MED0175,Ranitidine 200mg,Ranitidine,RanitidineBrand2,H2 Blocker,Ranitidine HCl,None,H2 Blocker,200mg,Injection,IM,Pharma Co 15,False
MED0176,Diclofenac 100mg,Diclofenac,DiclofenacBrand3,NSAID,Diclofenac sodium,Ibuprofen|Aspirin,NSAID,100mg,Syrup,IM,Pharma Co 19,True
MED0177,Ampicillin 1g,Ampicillin,AmpicillinBrand3,Beta-lactam,Ampicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,1g,Patch,Subcutaneous,Pharma Co 17,True
MED0178,Prednisolone 200mg,Prednisolone,PrednisoloneBrand4,Corticosteroid,Prednisolone sodium phosphate,None,Corticosteroid,200mg,Tablet,Inhalation,Pharma Co 13,False
MED0179,Omeprazole 20mg,Omeprazole,OmeprazoleBrand2,PPI,Omeprazole magnesium,None,PPI,20mg,Cream,IV,Pharma Co 14,False
MED0180,Metoprolol 500mg,Metoprolol,MetoprololBrand3,Beta-blocker,Metoprolol tartrate,None,Beta-blocker,500mg,Capsule,IM,Pharma Co 17,False
MED0181,Amoxicillin 500mg,Amoxicillin,AmoxicillinBrand5,Beta-lactam,Amoxicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,500mg,Tablet,Inhalation,Pharma Co 7,True
MED0182,Ibuprofen 250mg,Ibuprofen,IbuprofenBrand3,NSAID,Ibuprofen,Aspirin|Ketoprofen,NSAID,250mg,Syrup,IM,Pharma Co 2,True
MED0183,Cetirizine 20mg,Cetirizine,CetirizineBrand1,Antihistamine,Cetirizine HCl,None,Antihistamine,20mg,Inhaler,Subcutaneous,Pharma Co 6,False
MED0184,Metformin 200mg,Metformin,MetforminBrand4,Biguanide,Metformin HCl,None,Biguanide,200mg,Syrup,Inhalation,Pharma Co 11,False
MED0185,Atorvastatin 5mg,Atorvastatin,AtorvastatinBrand3,Statin,Atorvastatin calcium,None,Statin,5mg,Inhaler,Inhalation,Pharma Co 2,True
MED0186,Ciprofloxacin 100mg,Ciprofloxacin,CiprofloxacinBrand3,Fluoroquinolone,Ciprofloxacin HCl,Ofloxacin,Fluoroquinolone,100mg,Inhaler,IM,Pharma Co 1,True
MED0187,Azithromycin 5mg,Azithromycin,AzithromycinBrand2,Macrolide,Azithromycin dihydrate,Erythromycin,Macrolide,5mg,Syrup,IM,Pharma Co 11,True
MED0188,Sulfamethoxazole 200mg,Sulfamethoxazole,SulfamethoxazoleBrand1,Sulfonamide,Sulfamethoxazole|Trimethoprim,None,Sulfonamide,200mg,Injection,IM,Pharma Co 6,True
MED0189,Cephalexin 20mg,Cephalexin,CephalexinBrand4,Cephalosporin,Cephalexin monohydrate,Beta-lactam|Penicillin,Cephalosporin,20mg,Capsule,Oral,Pharma Co 15,True
MED0190,Lisinopril 10mg,Lisinopril,LisinoprilBrand5,ACE-Inhibitor,Lisinopril,Enalapril,ACE-Inhibitor,10mg,Cream,Inhalation,Pharma Co 14,True
MED0191,Codeine 10mg,Codeine,CodeineBrand4,Opioid,Codeine phosphate,Morphine|Tramadol,Opioid,10mg,Patch,IV,Pharma Co 9,True
MED0192,Warfarin 1g,Warfarin,WarfarinBrand3,Anticoagulant,Warfarin sodium,None,Anticoagulant,1g,Syrup,Subcutaneous,Pharma Co 13,True
MED0193,Doxycycline 50mg,Doxycycline,DoxycyclineBrand3,Tetracycline,Doxycycline hyclate,Minocycline,Tetracycline,50mg,Capsule,Inhalation,Pharma Co 4,True
MED0194,Paracetamol 5mg,Paracetamol,ParacetamolBrand4,Analgesic,Paracetamol,None,Analgesic,5mg,Patch,IM,Pharma Co 19,False
MED0195,Ranitidine 50mg,Ranitidine,RanitidineBrand4,H2 Blocker,Ranitidine HCl,None,H2 Blocker,50mg,Capsule,Inhalation,Pharma Co 6,False
MED0196,Diclofenac 20mg,Diclofenac,DiclofenacBrand3,NSAID,Diclofenac sodium,Ibuprofen|Aspirin,NSAID,20mg,Capsule,Inhalation,Pharma Co 5,True
MED0197,Ampicillin 1g,Ampicillin,AmpicillinBrand2,Beta-lactam,Ampicillin trihydrate,Penicillin|Cephalosporin,Beta-lactam,1g,Patch,Oral,Pharma Co 3,True
MED0198,Prednisolone 200mg,Prednisolone,PrednisoloneBrand3,Corticosteroid,Prednisolone sodium phosphate,None,Corticosteroid,200mg,Patch,IM,Pharma Co 15,False
MED0199,Omeprazole 200mg,Omeprazole,OmeprazoleBrand4,PPI,Omeprazole magnesium,None,PPI,200mg,Syrup,Oral,Pharma Co 5,False
MED0200,Metoprolol 200mg,Metoprolol,MetoprololBrand2,Beta-blocker,Metoprolol tartrate,None,Beta-blocker,200mg,Injection,IM,Pharma Co 3,False
